nCount_RNA	original_cluster_identity	UMAP_1	UMAP_2	Col2a1	eGFP-SV40pA
5593	Pericartilaginous mesenchyme	1.36094283028252	-2.84750503547144	0	0
4388	Chondrocytes	-4.64012921885841	2.67643528931189	6	2
1818	Perichondrium	-2.41255582408302	0.446586487222196	2	1
3717	Perichondrium	-0.665189216893838	2.40153914444494	0	0
6776	Muscle connective tissue	4.38755833073266	-3.42631930358362	0	0
1186	Muscle connective tissue	3.14319096966393	-4.26784461982202	0	0
9255	Muscle connective tissue	3.26496802731164	-4.45017928130579	0	0
2977	Perichondrium	0.172019620376899	3.4555106734519	0	0
1840	Perichondrium	-1.51116217212074	1.39939218514013	0	0
3118	Interdigit mesenchyme	2.64646088047631	2.89579802506018	0	0
3759	Perichondrium	-0.322260822218583	2.59509569160986	0	0
5135	Tendons	-2.38382447795265	-2.76353782660913	0	0
4110	Perichondrium	1.02394281788476	1.48223143570471	0	0
3974	Dermis	5.96669470234521	-2.1744542742486	0	0
2993	Chondrocytes	-1.89779783324592	3.16066843025732	4	0
2256	Perichondrium	1.69324742718346	0.435214815068723	0	0
3154	Pre-osteoblasts	-5.55600846843116	0.147219417024137	0	0
1444	Perichondrium	-1.36221767501228	2.62220388405371	1	2
5338	Tendons	-1.40655208663337	-1.17275804526758	0	0
3402	Chondrocytes	-2.32358063296668	3.13175064079809	5	0
5689	Interdigit mesenchyme	1.65206192894585	3.24565511696386	0	0
4986	Tendons	-2.40874255732887	-1.69413084037256	0	0
1406	Chondrocytes	-2.52266014651649	3.59668379776526	6	0
3748	Dermis	5.62974630756982	-2.11210364348841	0	0
2995	Perichondrium	1.11580048962243	1.55680554859686	0	0
5012	Tendons	-2.28397525386207	-0.863766225647448	0	0
1205	Pericartilaginous mesenchyme	-2.69252885417335	-2.64019936568689	0	0
1802	Chondrocytes	-2.37968696193092	2.76884180061865	1	0
2855	Dermis	4.84693132801659	-1.80063766486597	0	0
1969	Perichondrium	0.685383071142509	0.871047315526487	0	0
1692	Pericartilaginous mesenchyme	-0.488297025722192	-4.29948252685022	0	0
1042	Pericartilaginous mesenchyme	1.60162722035058	-3.33095497138452	0	0
2388	Tendons	-2.7639805181443	-1.6142531061883	0	0
4322	Chondrocytes	-4.93321431712501	2.6276629542594	16	1
6278	Pericartilaginous mesenchyme	-0.847936461728738	-3.92101949698877	0	0
3097	Perichondrium	0.113034372168853	3.26178484909582	0	0
1845	Perichondrium	-1.30076135234229	2.76060634605932	0	0
2199	Perichondrium	-1.27636815146797	1.03590780251074	2	0
1116	Chondrocytes	-3.73557604388587	4.11875325195837	5	0
2703	Pericartilaginous mesenchyme	0.152168263632133	-3.94092029578638	0	0
3063	Perichondrium	-1.35704971389167	2.83212190620947	2	0
5023	Pericartilaginous mesenchyme	-0.394621471923516	-3.81962937362146	0	0
4468	Pericartilaginous mesenchyme	0.468645025926902	-3.36946338660669	0	0
1042	Perichondrium	-2.4400194986283	2.09484892838049	0	0
4958	Interdigit mesenchyme	2.11548601551659	-0.816626730036257	0	0
4258	Chondrocytes	-1.35300696925514	3.22078805916357	0	0
1162	Pericartilaginous mesenchyme	-0.583370964091943	-4.65799016005945	0	0
4622	Pericartilaginous mesenchyme	2.40315114422448	-2.81254619605493	0	0
