nCount_RNA	merged.clusters	UMAP_1	UMAP_2	Col2a1	eGFP-SV40pA
3593	Mesenchyme	-1.74868468590587	-0.986914026257714	0	0
7796	Blood and immune cells	10.0366136615673	-13.2891119892571	0	0
11929	Epithelium	9.82841034583241	4.38293085742263	0	0
4252	Mesenchyme	0.625336754838529	4.877726656678	18	2
2251	Epithelium	10.4047882144848	4.17960034060744	0	0
1740	Mesenchyme	-0.681885164459643	1.01728676009444	0	0
1185	Mesenchyme	-2.54627398796886	2.94768677401809	1	0
7325	Mesenchyme	-1.38295726128429	0.943922263863364	1	0
10585	Mesenchyme	-3.29586271591991	-3.58220018696519	0	0
1051	Muscle	7.47570200614125	-8.2749775822136	0	0
7049	Mesenchyme	-0.953716915329394	-2.95516290020677	0	0
1061	Mesenchyme	-3.37193612404674	-3.96337379765244	0	0
1663	Mesenchyme	0.382198873678746	-0.560205320534429	0	0
1646	Epithelium	10.6563007419506	2.77997360873489	0	0
3183	Mesenchyme	-5.74439553566783	-1.5606061394188	0	0
4053	Mesenchyme	-2.85724763222545	0.77138493705062	0	0
5757	Mesenchyme	0.27331682271749	4.70465813327102	17	6
4747	Mesenchyme	-3.43243150063365	2.94146667170791	0	0
6347	Mesenchyme	-3.43504194565624	-4.0059710915062	0	0
4343	Mesenchyme	-2.96785692520946	3.32863555598525	0	0
11530	Mesenchyme	-1.17782060452312	-3.51562656712266	0	0
1788	Mesenchyme	9.58314533881337	3.55545626330642	0	0
5322	Mesenchyme	-3.04159192391246	-2.63812960934373	0	0
9955	Muscle	7.56625338248402	-8.43706216168138	23	2
1204	Endothelium	-4.44642285652965	-10.2347725803825	0	0
1288	Mesenchyme	-2.15232447930187	2.46966014552383	0	0
3605	Mesenchyme	-0.211006086548266	-0.466126146433076	0	0
4270	Mesenchyme	-2.17144207306713	-3.45946730923386	0	0
3668	Mesenchyme	-0.310828846176562	4.17916784930495	10	1
9191	Muscle	7.4906498973766	-8.16913260769578	0	0
5863	Mesenchyme	-3.43622521706432	-2.31698490929337	0	0
3144	Mesenchyme	-3.00583938904613	3.24038396525649	0	0
5734	Mesenchyme	-0.650823574741778	-2.86559166264268	0	0
3698	Mesenchyme	1.7491389100948	4.56738148379592	27	3
2578	Mesenchyme	-0.770060222824511	1.94479380297927	2	0
1541	Epithelium	9.98128338507802	4.63899145770339	0	0
